from,to,year,type
BVB,TT,2017,1
PB,BVB,2017,1
B04,TK,2017,1
HH,B04,2017,1
S04,MW,2017,1
DT,S04,2017,1
M05,MS,2017,1
SS,M05,2017,1
HSV,BH,2018,1
CT,HSV,2018,1
WOB,MS,2018,1
BL,WOB,2018,1
VfB,HW,2018,1
TK,VfB,2018,1
HSV,MG,2018,1
BH,HSV,2018,1
BVB,PB,2017,1
PS,BVB,2017,1
FCK,PS,2017,1
SR,FCK,2017,1
WBR,AN,2017,1
FK,WBR,2017,1
FCB,WS,2017,1
JH,FCB,2017,1
FCB,CA,2017,1
WS,FCB,2017,1
WOB,AJ,2017,1
MS,WOB,2017,1
PB,HR,1998,2
TK,FB,1996,2
HH,BVB,1996,2
MW,JR,2005,2
MS,FCNA,1976,2
SS,M05,2004,2
BH,HSV,1996,2
CT,IO,1999,2
BL,FCB,1992,2
HW,ASC,2016,2
MG,FCP,1994,2
SR,TuS,1999,2
PS,AW,1989,2
FK,W3,2002,2
AN,VfLO,2005,2
WS,ASM,1998,2
JH,BMG,1971,2
CA,ASR,1980,2
